"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Mr. Bean's Holiday","Big Movie Fan","5 May 2003","Absolutely happy! That is the only word I can use to describe my feelings after spending my hard-earned money to see X-Men 2. It was worth every penny.Firstly, the makers of superhero films such as this have an unenviable task. They have to please hardcore comic fans and casual movie fans which is no easy task. And The X-Men-with their forty years of history and continuity-are perhaps the hardest heroes to put on the big screen. Well, I've spoken to many hardcore X-fans and casual movie fans and they all enjoyed it too.I won't go into great detail about the plot. Let's just say that The X-Men and their enemy Magneto have to join forces to combat an even bigger threat. I enjoyed this movie so much because for the first time in years, I didn't read ANYTHING about the plot or any reviews prior to viewing it. That is why I'm not going to go into great detail about the plot. Just enjoy it.All the favourites are back including my personal favourite Hugh Jackman as Wolverine (I hope Wolverine gets his own movie franchise one day). The makers of this movie have done a great job in making sure various characters get the right amount of screen time. We'd all love our favourites to get more screentime but with so many X-Men (and women), the producers have to do the best they can; and they do indeed.There are a few really great special effects in this movie but unlike some special effects laden movies, the plot is more important in this movie. Furthermore, the movie is much deeper and really makes you think. Marvel comics (and movies) have always been deep and many of the issues have reflected real life. This movie is about persecution and intolerance of mutants and reflects many issues from the past and the present such as Hitler's treatment of the Jews and the different ideologies of Martin Luthor King and Malcom X. In fact, many longtime X-fans have compared the X-Men's Professor X to Martin Luthor King and the evil Magneto to Malcom X. Seeing a movie like this cannot only provide a couple of hours of entertainment but make you view society in a totally different way.This is the best superhero film since the 70's (when we saw gems such as Superman The Movie) and the 80's (when we saw Tim Burton's Batman). It was a fantastic film but it begs one question-how are they ever going to top this?","
            9/10
            "
"Mr. Bean's Holiday","0U","12 February 2020","With more confident direction, a more ambitious story, and impressively realized action set pieces, X2 is the rare sequel that improves on every aspect of the original - while also working as a great stand alone movie in it's own right.","
            8/10
            "
"Mr. Bean's Holiday","suicidea","8 January 2004","A lot has been said about this movie, as is the case with many recent Hollywood comics adaptations. While I truly respect everyone's opinion, I really don't see the point in some criticisms brought up against this movie.(Definitely NO spoilers ahead.)First of all, we must realize that X-men comics have been around for decades. They existed before many of you were born. Still, the producers had to assume that the average audience had little or no idea about the mutant phenomenon, but Bryan singer did a very good job (as always) in the first film, and introduced the audience. Besides, adapting such a story with so many characters to the screen is no easy job, and is also risky, considering it's Hollywood and it must return all those millions. So the mutant phenomenon was well explained, the characters and their abilities introduced, and the plot (which actually had a story, unlike many action flicks) was carried out smoothly. All in the running time of one film. good job.The second film, however, had to concentrate (naturally) on more characters and a more thorough story. This is why I object (in the title) to people criticising this film for ""lack of character development"" etc. Many of the characters WERE developed in the first film. If you never read x-men comics, and did not even see the first movie, and see this one right away and still expect the director/writer to spell things out for you, well, you'll be disappointed. ""Where did Colossus take the kids during the attack?"" someone asked. To hide them somewhere, THAT'S where he took them. I don't think people would like to see the director spell out everything, such as Colossus' inner voice saying, ""Well, let me take these kids somewhere beneath this multimillion dollar facility, to hide them from the bad guys.""And the newly-introduced characters were introduced well enough. You see their abilities, you see whose side they're on, you even learn more about their personalities as the movie progresses. What else do you need to learn? Which team he supports?The highlight of the film was definitely Mystique's transformation scenes, very well done.The movie had many shortcomings, of course, the pace slowed down more than once, some main characters, especially Cyclops, were almost lost, but the plusses were way more than minuses. Especially Nightcrawler, who almost stole the lead from Wolverine. I must also add that Wolverine is much more violent in this film than the first, much more like the original comic character.As for the people who complain about the abundance of characters. Well, bad news for you. X-men is not a story of a couple of guys and their girlfriends. There are much more characters, hopefully to be seen in the next sequel(s). Jubilee, Pyro and Colossus were all hinted in this one. Though I'm eager to see Gambit also, I can't wait to see how they will do the Beast. Of course, I can see the ""no character development"" people asking each other, ""Who is Beast?""In short, this movie does what it's supposed to do: Gives us entertainment, and shows us our favorite characters on screen.","
            8/10
            "
"Mr. Bean's Holiday","MinorityReporter","12 December 2005","Some people would tell you that X2 is more conventional and mainstream than the first movie and to that I can only say: What a load of rubbish! Not only does X2 continue in the style set by the first film but it also improves on it greatly. This is achieved by adding more characters, making a deeper story and making the ever expanding universe even more chaotic so as better to capture the essence of the comic book. Two thumbs way up! The story picks up after the events of the first film in a way that pleases the viewers of the first film and is satisfactory to new viewers. The story is still well written and the pacing has improved a lot from the first film. There are no real slow points during the movie and the director takes special care to cram many of the scenes with breath taking visual effects so the audience will never lose interest. The dialog is once again both very sharp and witty and intelligent and allows for adequate character development. The character development is something some people have seen fit to criticize as they claim there isn't enough of it and except for only two characters I whole heartedly disagree. The character development of the main characters happened pretty much in the first film and therefore it is only necessary to add a bit more depth to the characters instead of repeating the character development from the first film. I did feel, however, that the film seemed somewhat rushed at times and that is a shame as it definitely had potential to be a 2½ hour film.The acting is still sublime and I, of course, have to emphasize Hugh Jackman who is still absolutely brilliant as Wolverine. Both in bringing out the animal sides during the fight sequences but also in keeping the character human like in the comics. Ian McKellen returns as well and further fleshes out his character of Magneto and makes the character every bit as devious and charismatic as in the previous film. Patrick Stewart returns as well and does what he did in the first film and he is still the only one who could play Xavier. Among the new actors are Brian Cox and Alan Cumming. Cox does what he does best and plays the new villain with the exaggerated style he usually does. Cumming on the other hand shows remarkable depth as Nightcrawler and is in spite of his appearance one of the most human characters in the film. I will miss him in the third film. Lets hope Beast is any bit as good as in the comics. Some have had their characters lessened in the sequel. Most notably James Marsden while Famke Jansen's character is developed further. Halle Berry's character Storm is still kept in the background but I'm sure she will get more screen time in the third film. Aside from the ones I have now mentioned the acting is quite good all round.Action wise the film took a major step up from the first film and many of the action scenes are quite simply awesome. We get to see more of Wolverine's feral rage which is always worth a look. All fights scenes with Wolverine are awesome and some of the most entertaining I've seen. Also we get a brief glimpse of Collosus kicking some ass and he does look cool I must say. In fact many of the individual mutants' powers are fleshed out in X2 and like in the original X-Men film they look absolutely beautiful. My only concern regarding the effects and action scenes is how on earth they are going to top them in the coming third X-Men film.In regards to music and sound the film improved upon the first film with a much more catchy soundtrack and more audible effects. For example the sounds of Wolverine's claws shooting out and retracting have been amplified making him even more menacing than he was in the first film. Very well done.All in all X2 is an excellent continuation of the original film and we are nearing something that is more like a saga than a series of films. I'm really beginning to see Bryan Singer as a master director after these two brilliant films and I am a little sad he opted to do Superman Returns rather than finish what he started with the X-Men films.8/10","
            10/10
            "
"Mr. Bean's Holiday","TheLittleSongbird","24 July 2014","Not that the first film was bad, because actually I still found it good, well-made fun for all its flaws. It's just that whereas the first X-Men film did feel like the beginning of a franchise that was yet to properly find its feet, it was found with X2. X2 isn't perfect either but still a very good film that is bigger and darker than the first and all the better for it. Again X2 is very well-made, with the dark visual style still maintained yet with a slightly grander look. The photography is beautiful and atmospheric, and the special effects are better here too, they were good in the first that they're slicker, bolder and eye-popping in the way that the first film didn't quite but almost did achieve. Whilst Michael Kamen's score in the first was fine, John Ottman's score here is an improvement being more in tune with the atmosphere and what's happening in the story. The script is even sharper here and with more depth, the humour and comic one-liners are witty and genuinely funny, they are not cheesy or out-of-place nor are they too much. There is a melancholic tone too that is dark and quite poignant and the romantic elements are sweet but never too soap-opera-ish. The story is where the darker and bigger terms most apply, apart from a couple of parts that could have slowed down and explained themselves more you are glued to your seat almost the entire time and emotionally connect with scenes and characters too. The assault on the White House sequence is exciting and a brilliant way to start the film, and it is true that the climax here puts the climax of the first in the shade, it's not contrived in the slightest and you are biting your nails. X2 does a great job mostly with the characters, where they are more complex and relatable. Although once again Storm and Cyclops are underdeveloped, otherwise Wolverine is a gritty and identifiable anti-hero, and of the other characters Nightcrawler was most effective. Though once again credit is due for making Magneto much more than a stereotypical villain. X2 is very well played by the cast, with the standouts being Hugh Jackman's charismatic Wolverine, Ian McKellen's menacing Magneto with shades of melancholy, Alan Cumming's camp yet affecting Nightcrawler and Brian Cox who plays Stryker with relish without falling into cliché territory. Also good are Rebecca Romijin-Stamos who continues to be sexy and icy, and her transformation sequences are among the visual highlights of the film and Patrick Stewart still is cool and fun though his screen time should have been longer. Only three cast members don't quite work, and they were James Marsden who's even stiffer than he was in the first(not helped by his character not been used as well as he could have been), Halle Berry who looks bored and Shawn Ashmore does look awkward at times. Other than a couple of rushed, under-explained parts, a couple of characters given short shrift and a couple of performances that didn't quite make the grade the film is a touch overlength, but the film on the whole is very good and lots of fun in its own right. It compares extremely favourably to the first film and manages to be better than it. 8/10 Bethany Cox","
            10/10
            "
"Mr. Bean's Holiday","MovieAddict2016","4 May 2003","The film begins. We are shown a tour guide leading students and adults through the White House in Washington, DC. It seems normal enough. A security guard notices someone straying off the path and asks if he is lost. The man raises his head, and a tail flicks out from behind him. Before the security guard can do anything he is down on the ground, alerting all security in the area of a mutant attack. The blue creature, known later as Nightcrawler, teleports past dozens of guards and kicks and whips them with his tail and fists. Finally the action dies down with the creature being shot (not killed), and we are left to catch our breaths. Reader, I'll tell you, it took me a few moments to catch mine.It sure looks as if ""X2"" is on the right track for a sequel, and if anything, it seems better. The budget is obviously bigger as we see the truly amazing special effects in the beginning of the film, and though the action never quite again reaches its high-point as in the beginning, it sets the film up for other non-stop action sequences, just like the James Bond movies are known for doing.But that's not all ""X-Men 2,"" or ""X2"" as the posters abbreviate, is all about. It has an important human element that adds to the pure, non-stop, full-blooded action-spectaculars throughout the film. The cast is bigger, the budget is bigger, the story is bigger, and the action is plentiful. Teenagers will enjoy the action side, and adults will probably enjoy the human side to the story. It seamlessly combines both these two elements/techniques even more than the original film did. I didn't expect to enjoy this film more than the first, but I must say I did.It reunites the old cast for a continuation of the struggle for mutants and humans to live together in the same world.The film begins with an assassination attempt on the president's life, carried out by a teleporting mutant. This act upsets the entire world, and the president is about to begin the mutant-human war predicted by Charles Xavier (Patrick Stewart) in the first film. In an effort to get to the bottom of the attack on the president's life, and prevent world-wide war, Xavier sends out Storm (Halle Berry) and Dr. Jean Grey (Famke Janssen) to search for the teleporting mutant and discover the truth behind the assassination attempt.Meanwhile, Logan ""Wolverine"" (Hugh Jackman) has returned to Xavier's mansion after searching for any signs of his past. He has found none. He is greeted by Rogue (Anna Paquin) and her new boyfriend Bobby ""Iceman,"" who was briefly seen in the first film and is given a deeper character backdrop in this film. But soon things start to turn for the worst as an attack on Xavier's mansion is led by Stryker (Brian Cox), the man behind the assassination attempt, who wants all mutants to be killed off. He kidnaps Charles Xavier, and reveals that he wishes for Charles to kill all mutants.How? By focusing Xavier's psychic powers/telepathy on a particular group of people, Xavier can actually kill them. So Stryker plans to use his disowned mutant son (who also has psychic powers) to control Xavier's mind (sort of) and focus on all the mutants in the world, automatically killing them.With this plot in motion, Mystique (Rebecca Romijn-Stamos) has little time to free Eric ""Magneto,"" which results in a truly amazing escape sequence which I will not spoil for you.Now, in an ironic moment, old enemies must fight together to bring down Stryker before his plan follows through. But the band of X-Men are far from solving their problems, as a new mutant, Lady Deathstrike (Kelly Hu) may stand in their way of defeating Stryker. And Wolverine may also find the key to his past in this mess.""X-Men 2,"" unlike other sequels, improves upon itself. Tragic sequels go to the dogs when the filmmakers are either too proud to try and surpass the original, or are too arrogant to even attempt it. ""X-Men"" was an excellent comic-book adaptation, in more ways than one, and ""X-Men 2"" is only better. It contains more action than ""Spider-Man"" and its human factor is even more active than it was in the original, which is ironic, since the original was praised for having both action and human attributes.The cast is first-class, but the real scene-stealer, just like in the original, is Hugh Jackman as Wolverine. The Aussie actor disguises his accent with a rough American one, just like British chap Bob Hoskins did in ""Who Framed Roger Rabbit?"".  If the filmmakers want a new James Bond after Pierce Brosnan, they need look no farther, because though he may not look the part in this film, Jackman can look very suave and proper (see ""Kate and Leopold""), and is my top choice for the next Bond.Comic book films are usually hit-or-miss. They're never in between. ""X-Men"" was an unexpected hit, but more than that, a good unexpected hit. It wasn't all hype. It was smart, action-packed and hat a great character side to it. Like I said before, ""X-Men 2"" improves upon all this and is the rare sequel that is better than its predecessor.I expect ""X-Men 2"" to break some box office records, and unlike other films, I can honestly say that it deserves it.4.5/5 stars -John Ulmer","
            10/10
            "
"Mr. Bean's Holiday","george.schmidt","5 May 2003","X2: X-MEN UNITED (2003) ***1/2 Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden, Rebecca Romijn-Stamos, Brian Cox, Alan Cumming, Bruce Davison, Anna Paquin, Kelly Hu, Aaron Stanford, Shawn Ashmore, Cotter Smith. Superlative sequel and a boost of hyperactive energy in the franchise's arm in the second chapter of the Marvel Comics' cult classic this time with good mutants teaming with bad to stop a bent human military advisor (hissable Cox) out to wipe out both types at any cost. Far-out special effects, new characters (particularly winning is Cumming as the blue-skinned Night Crawler) and non-stop action packaged with kinetic infectious giddiness. Jackman continues to amaze as the tormented Wolverine, Berry is given more to do as the tempestuous Storm, Janssen's Jane Grey is perhaps the most nuanced in her suddenly advance telekinetic skills and McKellen is wellmagnetic as Magneto. Fun tongue-in-cheek screenplay by Michael Dougherty and Dan Harris (w/ David Hayter, Zak Penn and director Bryan Singer getting story credits) keeps up with the multi-layered storyline encompassing class welfare, social strata and in general to accept one for who they are and not what they are. Well done!","
            7/10
            "
"Mr. Bean's Holiday","TedStixonAKAMaximumMadness","11 January 2017","With nine films thus far and at least two more on the horizon, all released over a near-twenty year window, 20th Century Fox's ""X-Men"" film franchise is something of a wonder in today's world of near- constant reboots and remakes. While it has by no means been a smooth ride, the fact remains that the long-running series has been a widely beloved and infinitely important one, especially when placed into historical perspective. Director Bryan Singer's original entry was one of the first major comic-to-film adaptations that convinced studios and audiences alike that comic-book movies could not only be mature and enthralling, but could be certified hits once again after the genre seemed to die-out in the 90's. And thus, a franchise was born and has stuck around ever since, through thick and thin.It's almost a surprise, however, that one of the best entries in the entire saga came so early- 2003's follow-up ""X2."" With Singer once again at the helm, the film is in every conceivable way an improvement over his excellent first film- it's more thoughtful, more daring, more exciting... I think one could even reasonably say that not only is it arguably the greatest film in the franchise- it just might be one of the best comic-to-film adaptations of all time. Yes, it's that good.Some time after the original film, a brainwashed mutant called Nightcrawler (Alan Cumming) is sent on a mission to try and assassinate the President of the United States under the guise of being a martyr for Mutant Freedom. Despite the mutant being stopped, the troubling event gives Colonel William Stryker (Brian Cox) the political edge and backing needed to get approval for an ""investigation"" on Xavier's School for Gifted Youngsters- but his investigation is actually an invasion, as he storms the school, taking many students hostage and forcing the remaining X-Men to flee. At the same time, Storm (Halle Berry) and Jean Grey (Famke Janssen) are sent on a mission to collect Nightcrawler and learn his motivation for the attack, Cyclops (James Marsden) and Professor Xavier (Patrick Stewart) are captured by Stryker's mysterious bodyguard (Kelly Hu) and the shape-shifting Mystique (Rebecca Romijn-Stamos) helps her former leader Magneto (Ian McKellan) escape from his high-tech prison. Soon, the remaining mutants (including Hugh Jackman as Wolverine, Anna Paquin as Rogue and Shawn Ashmore as Iceman) are forced to team up with their former adversary to try and stop Stryker's scheme to use Charles and his powers to wipe out all of the mutants on Earth.Given the film's nature as an ensemble piece, it's near-impossible to discuss the performances of each actor individually. But to keep it brief, everyone returning from the original is great in their respective roles. Special commendation goes to Hugh Jackman and his continued excellence in the role that helped to define him as a superstar and to Famke Jannsen, who gets a lot more attention this time around. They are by far the stand-outs of the returning cast. I also highly enjoyed Stewart and McKellen, who bring a sense of class and elegance to their roles and are incredible as always. The newest additions are also outstanding. Brian Cox is one of the greatest actors of our time, and his turn as Stryker is quite remarkable. He gives the character both an easily- ""despiseable"" sense of threat and dread, yet also a nice and subtle sense of pain and pathos. He's a cruel man, yet he has a past that might explain why he is the way he is. Alan Cumming is just magical as the frightened yet also amusing Nightcrawler, and there's a lot of great moments in his performance. And Kelly Hu makes for a fun and furious adversary as Styker's second-in-command ""Lady Deathstrike.""Singer returns to direct from a script by ""X-Men"" scribe David Hayter and the writing duo of Michael Dougherty and Dan Harris. Singer got his start with hard-hitting thrillers like ""The Usual Suspects"" and ""Apt Pupil"", and I think that's part of what gives him an edge with the storytelling. He plays the stories straight and gives them a sense of real and honest threat, while also maintaining an emotional core that feels realistic despite the outlandish nature of the story and heavy Science-Fiction leanings of the material. He's also a very gifted visual artist with a slick and savage sense of composition and flow that lends itself well to the needs of high- concept action. His work on the series has always been nothing less than stunning. The script is very tightly written and juggles the plethora of characters well- everyone has their moment to shine, every major player has a clearly defined role and arc and the pacing is superb. Some wonderful work is done with the writing, and it's an honest shame that neither Hayter nor the writing partners of Dougherty and Harris were involved in the third entry.The rest of the production is just marvelous. (Pardon the bad joke) Composer/co-editor John Ottman shapes some wonderful and memorable musical themes that compliment the tone and style perfectly, and he weaves together shots and sequences with a masterful touch. Cinematographer Newton Thomas Sigel's visual palette is cool and visually arresting, and his work is just stunningly gorgeous. Some wonderful visual flair is given thanks to his talent. And production and costume design courtesy Guy Hendrix Dyas and Louise Mingenbach respectively is just fantastic. The film is made with nothing but top-notch work from top-notch artists.As it stands, ""X2"" is easily one of the best if not the single best entry in the long-running series. Its phenomenal direction, sharp and thoughtful writing, beautiful production and outstanding cast weave an enthralling and thrilling cinematic experience that still stands tall well over a decade later. It's up there with the best of the best in terms of comic-book movies.There's no other way to look at it- ""X2"" easily earns a perfect 10 out of 10.","
            10/10
            "
"Mr. Bean's Holiday","MaxBorg89","21 December 2005","After the success of the first movie, Bryan Singer brings the X-Men back to the screen. He has stated X2 is the X-version of The Empire Strikes Back. He's not totally wrong: like Empire, X2 is darker than its predecessor, characters are developed and dealt with in a more mature way, and the foreboding climax is quite shocking indeed (there's even a ""I am your father""-style revelation concerning Wolverine's past, which is given more space here than in the first chapter). In fact, the movie could have been named X2: Humanity Strikes Back. That's right, this time it's the ""ordinary"" people who are raising hell, in particular William Stryker (Brian Cox), a military scientist who takes advantage of the increasing paranoia surrounding mutants and has the POTUS himself approve his plan to take down the ""monsters"" once and for all. The war is about to begin, and with Professor X (Patrick Stewart) and Cyclops (James Marsden) gone, the only X-Men left to face Stryker are Jean Grey (Famke Janssen), Storm (Halle Berry) and Wolverine (Hugh Jackman), with some help from Rogue (Anna Paquin) and Iceman (Shawn Ashmore). They are eventually joined by a former employee of Stryker's, the blue-skinned teleporter Nightcrawler (Alan Cumming), as well as the most unlikely ally around: Magneto (Ian McKellen), who has managed to escape from the plastic prison he was locked up in (the break-out plays like the Marvel version of Hannibal Lecter's escape in The Silence of the Lambs, and yes, that is a compliment).The plot is loosely based on the famous graphic novel God Loves, Man Kills by X-guru Chris Calremont (the villain and the alliance with Magneto are explicitly taken from that story), but Singer makes it all much more apocalyptic (Stryker was simply a preacher in the comic-book), while also having the time to take a look at some of the first film's subplots: the Wolverine-Jean-Cyclops love triangle is taken to a new, unexpected level and the Canadian mutant's forgotten ""origin"" starts getting slowly unveiled (Wolverine: ""Who are you?""; Stryker: ""Don't you remember?""). Jackman is the standout in this movie, as we finally get to see everybody's favorite X-fella lose it and make the bad guys regret they showed up in the first place. Those sequences are a treat for those who have grown up loving Wolverine and his dual, conflicted nature. Another actor who leaves a memorable impression is Cumming with his portrayal of Nightcrawler, one of the mutants people fear the most (he looks like a demon), but also the one who's most willing to forgive mankind for its mistakes.So, with all the great acting, good writing and clever direction, no wonder X2 was voted the greatest comic-book movie ever before Spider-Man 2 and Batman Begins were released. This is one superhero opus you won't want to miss.9,5/10","
            9/10
            "
"Mr. Bean's Holiday","nived84","18 April 2006","2000's smash hit X-Men certainly deserved a sequel (or two, or three), especially with all the cash it made and how the first one ended. Now the X-Men are back together once again, and this time they've got some new friends, including Nightcrawler and Pyro, and as well as some new enemies like William Stryker and Lady Deathstrike (his personal mutant ""assistant""/slave). This time the X-Men find themselves locked in an unlikely alliance with Magneto and Mystique (their nemeses from the first film) against an evil military scientist named William Stryker, whose main goal is to eradicate the world of mutants once and for all.X2: X-Men United is in many ways an improvement over the first film. It's more psychological, it's longer, there's more action, more mutants, more of Wolverine slicing it up and like the first film it's never boring or drags, right from the get-go X2 is fierce and exciting. In fact, X2 is almost the perfect comic book film almost. The one little, weak link in X2, for me at least, was Nightcrawler. Now, I like the character of Nightcrawler, but I honestly didn't care that much for Alan Cumming, he came off as a bit weak, and kind of ""dorky"". The character of Nightcrawler really just seems like a huge convenience to the plot; like the scene where he rescues Rogue in the X-Jet, which was oh so very convenient. But the one thing I liked about Nightcrawler, besides that awesome opening sequence in the White House, was his religious side, which I thought was interesting and made me sympathize with the character a little more.Pretty much everything in X2 works perfectly fine, which I attribute all that success to the amazing cast (Jackman, McKellen, Stewart, Marsden, Janssen, Berry, Paquin, Cox, Romijn), and the fact that the film was written and directed by the same people who clearly knew what they were doing back in 2000, and here they show us once again they still know what they're doing, and they aren't afraid to up the ante and take it up a notch. If you liked the first X-Men there's really no reason at all why wouldn't enjoy or like X2 as much, or maybe even more than the first film. It still has those surprising moments of humor, and plenty of action, maybe even more so than the original. And like the original, X2 sets itself up for a third film; let's just hope it turns out (at the very least) as good as the first two films, if not better.","
            10/10
            "
