"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"kosmasp","23 November 2020","I'm not a fan of musicals in general. Really I mostly can't see their appeal, but from time to time, I do find myself really enjoying one of them, especially if they are as well done as this. And the mid piece/song ""This is me"" is so good .. excellent! Superb! Any other great word you can think of. I had goosebumps listening to it.Every song has its purpose (still of course you can question the why people would start just sing and dance as if they had choreographed it in advance - well they have, but you know what I mean) and it works. Be it the comedy numbers (Hugh and Zac in one instance in a bar just to name one example) or as dramatic pieces. Hugh has so much fun it transcends the screen ... if you are way worse with Musicals than me, maybe don't watch it .. otherwise give it a shot! But most definitely do listen to the song ""This is me"" ... phenomenal!","
            9/10
            "
"Brandon-Donlon","25 February 2019","To start off this review I'd like to say that before I ever watched this movie I had the opinion that it was going to be rubbish, solely because of how blown up the movie was. Everywhere I went it was ""The Greatest Showman"". I thought that perhaps it would be a mediocre film at best, blown out of proportion by a craze.Boy was I wrong. Even at the beginning of the movie you are thrown straight into the extravagance of what the movie was about to become. What is basically the story of a simple man becoming a legend in the show-business, is the most flamboyant and breath-taken musical movie I've seen. The soundtrack for this movie is beyond brilliant. Having been impressed by Hugh Jackman's vocals in Les Miserable I was not surprised he pulls it out of the bag in this movie yet again. But Zac Efron really stood out in this movie and that truly surprised me.When you finish this movie you will have the great songs stuck in your head, and you will be fully satisfied having finished the movie, your next plan will likely be getting the soundtrack and reliving the magic all over again.","
            8/10
            "
"EmmaNelly","20 December 2020","This was the perfect family night movie. I loved the music although at first I thought it would be annoying. I enjoyed the scenes and the costumes and everything about this magical film. I would definitely watch it again.","
            8/10
            "
"Her-Excellency","7 April 2018","I have watched this film approximately twenty or more times. That is in no way an exaggeration and I may be low-calling it. Sometimes, I just have it on in the background while I work out or in the morning or while getting ready for work or I play it while cooking in the evening. On a couple of occasions, I've even caught my boyfriend humming the tunes. To say the songs stick with you, is an understatement. In fact, we've listened and watched it so much, that on every 20th Century Fox Movie ""opening"" sequence on any and all other subsequent 20th Century Fox movies we've watched, I automatically think of this one, and I am half expecting to see and hear the ""Ah, ah, ahhh, ahh ..."" and Hugh Jackman with his low ""Ladies and Gents . . . "". 
 
Besides having a catchy and moving soundtrack, the film itself is a wonder to look at. The cinematography is beautiful, the costumes are well-done, and again, come on: HUGH JACKMAN singing and dancing. What could be better? Well, for one, not better, but almost as great, is Rebecca Ferguson as Jenny Lind. The lady is gorgeous, and while she actually doesn't sing her rendition of ""Never Enough"" (Loren Allred does), the passion and zeal she brings to her onstage performance, is one for the books. I could literally (and have) replay that one scene over and over. Zac Efron and Hugh Jackman also have a duet which is fun and witty and very creatively done. The only reason I did not give it a ""10"", is probably an unpopular view, and I know I will amass a hugh (not a typo :)) number of thumbs down, but oh well: I did not care for Zendaya AT ALL. I think she was so very miscast. I do not think she looked pretty in the film (although after filming, I saw her giving a couple of interviews and she looked beautiful); I thought she had absolutely zero chemistry with Zac Efron; and lastly, both her acting and her voice are like chalk grating on a blackboard to me. I think Logan Browning would have been cuter in the role. That's just me though, although it did affect my thoughts on the film and my score.All in all, WATCH IT if you have not yet done so. It is beautiful to look at and a (modern) masterpiece to the ears.","
            8/10
            "
"Thomas-Musings","3 January 2021","Viewers are hooked from the opening moment with its power ballads and Hugh Jackman in profile, and drawn into this amazing and wonderful journey.","
            10/10
            "
"jecal","27 December 2017","This is possibly one of the best films I have ever seen in this genre.
From the start to finish, I felt that there was some inaudible and invisible metronome setting the overall pace of the film, a consistent rhythm within many rhythms, if that makes sense. Everything about this film had perfect timing. Editing was seamless. Attention to detail was mind blowing, costumes outstanding. Special effects... whoa. Acting was flawless. I really can't find anything to criticize. 
To summarize in a sentence, first class family entertainment.","
            10/10
            "
"gamblemark-77487","18 October 2020","Just watch and enjoy it, it's fun and that's what I want In times like these, and my kids love it!","
            10/10
            "
"BlueIrisDaisy","3 January 2019","Absolutely beautiful movie. Visually stunning, fantastic acting, songs you'll keep singing for months after. And the songs are catchy without being cheesy. Love the choreography as well. You can't sit still while watching this movie!
The story is very interesting and moving, and the issues they face are still relevant today which makes it very relatable. I've watched it three times and it makes me well up every time, my husband as well.
If you haven't seen it yet, go see it! Even if you're not normally into musicals, I'd still give it a chance :)","
            10/10
            "
"xjumper65","18 December 2020","It's hard to come up with something that hasn't already been said. Are critics are wrong? Yes. Does it have great music? Absolutely. Will you want to watch it again and again? Almost certainly. The entire cast does phenomenally well singing and dancing and for many, this achievement will be the first line in their biographies. It's a musical that is generally inspiring and evokes good feelings, but still takes you on an emotional journey. It's far from a documentary on P.T. Barnum, but that's not it's purpose. As someone obsessed with Hamilton to the point where I listened to the soundtrack everyday for 2 years before seeing it live on Broadway, I avoided watching this one because I just assumed it couldn't even come close. I was wrong. I'm not saying it's better than Hamilton or even as good because I don't think anything will ever be, but The Greatest Showman is definitely a modern classic that earns a place on the list of must-see musicals. Despite its 19th century setting, the songs are fresh, modern, up-beat numbers that can only be described as instant classics. Just try NOT singing along, I dare you. This is not an old school musical like West Side Story or The Sound of Music; it's very modern in the best sense of the word. The choreography and dancing are also first rate and the movie engages you and sweeps you along so well that by the end, you won't even believe it's been an hour and forty-five minutes. I could watch this weekly and never tire of it. Rather than the critics, trust the viewer reviews, the box office numbers, and the fact that it stayed popular in theaters for so long, they had to forcibly pull it before it's popularity waned because the DVD was about to drop and the streaming deals were about to kick in. If you've ever seen a single musical you liked, you're sure to love this one. If you've never enjoyed a musical before, the. this may be the one to bring you into the fold.","
            9/10
            "
"sunchick116-872-583383","27 December 2017","Now THIS is how you do a film! What an epic masterpiece! I don't understand the critics criticism of the lack of a story. There was A very clear cut journey of barnum's desire to be accepted and then learning what is really important in life. All the songs were so catchy, and more our importantly, inspirational. They had something to say. Makes me sad to see so many missed the message of this very important movie, just because it was wrapped up in a fun experience. Can't say enough good things about this film. It's just fantastic. Our audience clapped at the end.","
            10/10
            "
